series,concentration,response,replicate
SYNTHETIC activation,1,36.66666666666667,2
SYNTHETIC activation,1,37.16666666666667,3
SYNTHETIC activation,3,57.5,1
SYNTHETIC activation,3,58.0,2
SYNTHETIC activation,3,58.5,3
SYNTHETIC activation,10,76.16666666666667,1
SYNTHETIC activation,10,76.66666666666667,2
SYNTHETIC activation,10,77.16666666666667,3
SYNTHETIC activation,30,84.5,1
SYNTHETIC activation,30,85.0,2
SYNTHETIC activation,30,85.5,3
SYNTHETIC activation,100,87.93137254901961,1
SYNTHETIC activation,100,88.43137254901961,2
SYNTHETIC activation,100,88.93137254901961,3
SYNTHETIC beyond range,0,4.5,1
SYNTHETIC beyond range,0,5.0,2
SYNTHETIC beyond range,0,5.5,3
SYNTHETIC beyond range,0.01,4.50179996400072,1
SYNTHETIC beyond range,0.01,5.00179996400072,2
SYNTHETIC beyond range,0.01,5.50179996400072,3
SYNTHETIC beyond range,0.03,4.505399676019439,1
SYNTHETIC beyond range,0.03,5.005399676019439,2
SYNTHETIC beyond range,0.03,5.505399676019439,3
SYNTHETIC beyond range,0.1,4.517996400719856,1
SYNTHETIC beyond range,0.1,5.017996400719856,2
SYNTHETIC beyond range,0.1,5.517996400719856,3
SYNTHETIC beyond range,0.3,4.553967619428343,1
SYNTHETIC beyond range,0.3,5.053967619428343,2
SYNTHETIC beyond range,0.3,5.553967619428343,3
SYNTHETIC beyond range,1,4.679640718562874,1
SYNTHETIC beyond range,1,5.179640718562874,2
SYNTHETIC beyond range,1,5.679640718562874,3
SYNTHETIC beyond range,3,5.036779324055666,1
SYNTHETIC beyond range,3,5.536779324055666,2
SYNTHETIC beyond range,3,6.036779324055666,3
SYNTHETIC beyond range,10,6.264705882352941,1
SYNTHETIC beyond range,10,6.764705882352941,2
SYNTHETIC beyond range,10,7.264705882352941,3
SYNTHETIC beyond range,30,9.59433962264151,1
SYNTHETIC beyond range,30,10.09433962264151,2
SYNTHETIC beyond range,30,10.59433962264151,3
SYNTHETIC beyond range,100,19.5,1
SYNTHETIC beyond range,100,20.0,2
SYNTHETIC beyond range,100,20.5,3
SYNTHETIC reversal,0,9.5,1
SYNTHETIC reversal,0,10,2
SYNTHETIC reversal,0,10.5,3
SYNTHETIC reversal,0.01,9.5,1
SYNTHETIC reversal,0.01,10,2
SYNTHETIC reversal,0.01,10.5,3
SYNTHETIC reversal,0.03,19.5,1
SYNTHETIC reversal,0.03,20,2
SYNTHETIC reversal,0.03,20.5,3
SYNTHETIC reversal,0.1,49.5,1
SYNTHETIC reversal,0.1,50,2
SYNTHETIC reversal,0.1,50.5,3
SYNTHETIC reversal,0.3,79.5,1
SYNTHETIC reversal,0.3,80,2
SYNTHETIC reversal,0.3,80.5,3
SYNTHETIC reversal,1,99.5,1
SYNTHETIC reversal,1,100,2
SYNTHETIC reversal,1,100.5,3
SYNTHETIC reversal,3,79.5,1
SYNTHETIC reversal,3,80,2
SYNTHETIC reversal,3,80.5,3
SYNTHETIC reversal,10,39.5,1
SYNTHETIC reversal,10,40,2
SYNTHETIC reversal,10,40.5,3
SYNTHETIC reversal,30,19.5,1
SYNTHETIC reversal,30,20,2
SYNTHETIC reversal,30,20.5,3
SYNTHETIC reversal,100,9.5,1
SYNTHETIC reversal,100,10,2
SYNTHETIC reversal,100,10.5,3
